PNOME,QTDE,PERC,SEXO,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
ADONAI,3,0.0047,M,6,IANODA,I,A,N,O,D,A,,,,,,,,,,
IRAI,2,0.0031,,4,IARI,I,A,R,I,,,,,,,,,,,,
SAMAI,2,0.0031,,5,IAMAS,I,A,M,A,S,,,,,,,,,,,
UBURAI,1,0.0016,,6,IARUBU,I,A,R,U,B,U,,,,,,,,,,
UBIRAI,1,0.0016,,6,IARIBU,I,A,R,I,B,U,,,,,,,,,,
YSLAI,1,0.0016,,5,IALSY,I,A,L,S,Y,,,,,,,,,,,
MADAI,1,0.0016,,5,IADAM,I,A,D,A,M,,,,,,,,,,,
SARAI,1,0.0016,,5,IARAS,I,A,R,A,S,,,,,,,,,,,
ELIOENAI,1,0.0016,,8,IANEOILE,I,A,N,E,O,I,L,E,,,,,,,,
ALINDAI,1,0.0016,,7,IADNILA,I,A,D,N,I,L,A,,,,,,,,,
JUNAI,1,0.0016,,5,IANUJ,I,A,N,U,J,,,,,,,,,,,
FLANINDAI,1,0.0016,,9,IADNINALF,I,A,D,N,I,N,A,L,F,,,,,,,
