PNOME,QTDE,PERC
MARIA,2937,4.595165454118751
JOSE,2766,4.327622623797231
ANTONIO,1257,1.966674489556442
FRANCISCO,1014,1.5864820464679654
JOAO,993,1.5536259094109364
CARLOS,979,1.5317218180395837
ANA,938,1.4675741218806226
PAULO,907,1.4190722052726277
LUIZ,829,1.2970351247750918
MARCOS,515,0.8057576468747555
JORGE,507,0.7932410232339827
MARCELO,424,0.6633810529609638
PEDRO,421,0.6586873190956739
RAIMUNDO,395,0.618008292263162
SERGIO,394,0.6164437143080654
MANOEL,344,0.5382148165532348
FERNANDO,342,0.5350856606430415
ANDRE,328,0.513181569271689
RICARDO,318,0.4975357897207228
MARCIA,314,0.4912774779003364
LUIS,297,0.464679652663694
ALEXANDRE,287,0.44903387311272785
ROBERTO,284,0.444340139247438
EDUARDO,275,0.4302589376515685
CLAUDIO,271,0.424000625831182
PATRICIA,270,0.42243604787608546
RODRIGO,253,0.395838222639443
CLAUDIA,245,0.38332159899867013
JULIANA,240,0.37549870922318707
LUCIANA,235,0.367675819447704
MARCIO,232,0.3629820855824141
DANIEL,230,0.35985292967222093
FABIO,230,0.35985292967222093
FERNANDA,221,0.34577172807635137
ADRIANA,221,0.34577172807635137
SANDRA,220,0.34420715012125475
EDSON,212,0.3316905264804819
RAFAEL,207,0.32386763670499885
RENATA,207,0.32386763670499885
SEBASTIAO,204,0.31917390283970903
BRUNO,201,0.31448016897441916
MARCO,195,0.30509270124383947
LEONARDO,195,0.30509270124383947
ALINE,194,0.30352812328874285
SONIA,182,0.2847531878275835
MARIO,174,0.2722365641868106
JULIO,173,0.27067198623171396
VERA,167,0.2612845185011343
RENATO,167,0.2612845185011343
FLAVIO,159,0.2487678948603614
ANDREA,159,0.2487678948603614
ROGERIO,156,0.2440741609950716
GERALDO,154,0.24094500508487834
REGINA,151,0.23625127121958853
MAURICIO,149,0.2331221153093953
CAMILA,148,0.23155753735429868
MONICA,147,0.22999295939920206
FLAVIA,147,0.22999295939920206
THIAGO,147,0.22999295939920206
ANGELA,146,0.22842838144410543
GILBERTO,145,0.22686380348900886
CRISTIANE,142,0.222170069623719
RITA,141,0.22060549166862237
FRANCISCA,140,0.2190409137135258
SIMONE,139,0.21747633575842917
CARLA,138,0.21591175780333255
TANIA,137,0.21434717984823592
LUCIA,135,0.21121802393804273
