UNOME,QTDE
MARACABA,1
FABA,1
SABBA,1
ROBBA,1
JURUBEBA,1
TEBA,1
WEBA,1
PARANAIBA,2
AKIBA,1
ATALIBA,1
MURITIBA,1
ALBA,1
TUPINAMBA,3
ZAMBA,1
LOMBA,2
JOBA,1
CAMANDAROBA,1
PEROBA,1
JANDIROBA,1
JATOBA,4
MALERBA,2
BORBA,26
CARNAUBA,3
CUBA,1
PACATUBA,1
GUAHYBA,1
FACA,1
FOGACA,4
FRIACA,1
CALACA,1
VILACA,5
VILLACA,3
MACA,1
GRACA,4
ARAPIRACA,1
CORACA,1
PRACA,1
LATORRACA,1
TORRACCA,1
TACCA,1
SCANAVACCA,1
STECCA,1
BICCA,1
IOCCA,1
ROCCA,2
BROCCA,1
LUCCA,5
ECA,1
CABECA,1
AFONSECA,2
ZECA,1
BENFICA,2
MANHICA,1
MANICA,1
DELAMONICA,1
ITAPARICA,2
TIBIRICA,1
SICA,1
COTICA,1
ZICA,1
LABANCA,1
BRAGANCA,9
CABIANCA,1
CHIANCA,1
BRANCA,1
SPERANCA,1
ESPERANCA,1
MELHORANCA,3
SABENCA,2
VALENCA,10
PROENCA,2
CUENCA,1
BRUNCA,1
DOCA,1
CARIOCA,1
JOCA,1
POROCA,1
BARROCA,3
ZOCA,1
BARCA,2
PATRIARCA,1
GALARCA,1
MARCA,1
LAMARCA,1
MURCA,1
CAMURCA,1
TASCA,1
CESCA,1
TRESCA,1
FRANCISCA,1
BOSCA,1
POSCA,1
DELDUCA,1
JUCA,6
FRAJUCA,1
PENELUCA,1
AROUCA,5
PORTELADA,1
KAMADA,1
SHIMADA,2
ALMADA,4
INADA,1
MATINADA,1
JORNADA,1
TABOADA,1
SPADA,2
ESPADA,1
RADA,1
LABRADA,1
PEDRADA,1
ANDRADA,4
PRADA,1
ESTRADA,1
BESADA,1
ROSADA,1
BOUZADA,1
LOUZADA,9
MAEDA,6
BEDA,1
TEJEDA,1
IKEDA,2
LEDA,2
ALMEDA,1
UMEDA,1
CANEDA,1
DONEDA,1
RAMONEDA,1
ZUNEDA,1
BREDA,2
UEDA,1
IQUEDA,1
RUEDA,1
POVEDA,1
UYEDA,1
URZEDA,1
UZEDA,4
BAIDA,1
MUCIDA,1
BRIGIDA,3
SHIKIDA,1
MARGARIDA,1
MALACRIDA,1
MERIDA,1
SACHSIDA,1
TIDA,1
GUIDA,3
VIDA,1
ALDA,1
BOLDA,1
FOLDA,1
HOLLANDA,2
HOLANDA,40
BERLANDA,1
VARANDA,2
MENDA,1
LAPENDA,1
RENDA,1
BINDA,1
HONDA,1
ZGODA,1
SONODA,1
MAIBORODA,1
TODA,1
GUARDA,1
LAVARDA,1
LACERDA,70
BORDA,1
TABORDA,3
HOSDA,1
BARBUDA,1
ANUDA,2
ARRUDA,65
SUDA,1
MASUDA,1
MASSUDA,1
BOGEA,3
TELLECHEA,1
PATOLEA,1
BAREA,1
BREA,1
ANDREA,1
PEREA,1
DOREA,5
ARIMATEA,2
AMANTEA,1
GOUVEA,19
CAIAFA,1
MOSTAFA,1
MUSTAFA,1
NEFFA,1
ALOUFA,1
FAGA,1
FRAGA,26
MORAGA,1
ZARRAGA,1
GONZAGA,24
BACHEGA,1
MEGA,1
DONEGA,1
MAREGA,3
NOBREGA,43
ORTEGA,7
VEGA,2
NAVEGA,1
VEIGA,27
HIGA,1
MELIGA,1
FORMIGA,5
ZUNIGA,1
URTIGA,1
BELGA,1
LANGA,1
TSHIMANGA,1
MARANGA,1
PITANGA,2
FIENGA,1
ALVARENGA,26
LONGA,1
CALONGA,1
VILARONGA,1
OGA,1
KOGA,2
ANTLOGA,1
QUEIROGA,1
PARGA,1
TARGA,1
TERGA,1
VERGA,1
BORGA,1
VALDUGA,1
FEUGA,1
PITALUGA,2
NOUGA,2
PUGA,1
MADRUGA,6
URUGA,1
OZGA,1
PACHA,2
BAREICHA,1
MICHA,1
RICHA,1
OLCHA,1
CZERNOCHA,1
MONARCHA,1
AROUCHA,2
DEANHAIHA,1
PALHA,1
SALHA,1
BATALHA,9
ABELHA,2
GADELHA,15
GUEDELHA,1
ILHA,3
PADILHA,24
PANDILHA,1
FILHA,8
QUINTANILHA,10
FACANHA,6
PECANHA,6
SALDANHA,25
MENDANHA,1
FANHA,1
MAGANHA,2
CAMPANHA,1
ARANHA,17
LAGRANHA,1
PESSANHA,11
MONTANHA,1
CASTANHA,2
LATAVANHA,1
GAMENHA,1
PENHA,32
FONTAINHA,1
SARDINHA,4
FARINHA,1
CAMARINHA,2
TORRINHA,2
CURTINHA,1
VINHA,1
PIANTAVINHA,2
NORONHA,18
MARTHA,1
ORTHA,1
BAIA,7
BISCAIA,1
SAPUCAIA,1
BALDAIA,1
MALAFAIA,1
ALFAIA,2
GAIA,10
PIAIA,3
LAIA,2
ANAIA,1
MANAIA,1
RAIA,1
CAMBRAIA,3
GRAIA,1
CONTURBIA,1
RUBIA,1
LARRUBIA,1
LUCCIA,1
GRECIA,1
ERQUECIA,1
MIGLORANCIA,1
VALENCIA,1
LUCIA,2
BADIA,1
OBADIA,1
CHIARADIA,1
HEREDIA,1
SALDIA,1
CANDIA,1
PARODIA,1
CARDIA,1
CEIA,2
LADEIA,2
NEIA,1
AREIA,1
CORREIA,96
SEIA,1
GOVEIA,2
GOUVEIA,25
MISSIAGGIA,1
CANONGIA,1
BAHIA,5
SOUBHIA,1
CHECCHIA,1
COTECCHIA,1
BOTTECCHIA,1
VECCHIA,1
LARICCHIA,1
TROCCHIA,1
VECHIA,1
CAVECHIA,1
TORCHIA,1
SCALIA,1
CHIGNALIA,1
CHINALIA,1
ELIA,1
MEDAGLIA,1
ZAGAGLIA,1
CIAGLIA,1
PAGLIA,2
MIRAGLIA,1
TRAVAGLIA,2
CEGLIA,1
CARIGLIA,1
SFOGLIA,1
SBROGLIA,1
BUGLIA,1
PUGLIA,1
CECILIA,2
GRISOLIA,1
THYLIA,1
FLAMIA,1
RAMIA,1
GEREMIA,1
BOIA,1
SABOIA,8
FRANCOIA,1
JOIA,3
TAPIA,1
ARREPIA,1
ALBERGARIA,1
MARIA,18
DALAMARIA,1
CANTUARIA,3
CALABRIA,2
ALEXANDRIA,1
HUNGRIA,1
LEIRIA,2
DORIA,6
GLORIA,3
SORIA,3
VITORIA,7
APRIA,1
ECHEVERRIA,1
ITRIA,1
LAURIA,2
FURIA,1
ANASTASIA,1
CAROSIA,1
GRASSIA,1
ESCOSSIA,1
URRUTIA,1
ALELUIA,3
TUTYIA,1
MALIZIA,2
MARACAJA,2
BEJA,1
CEREJA,2
IGREJA,3
LARANJA,3
GRANJA,5
RIOJA,1
LOJA,1
MAROJA,1
PANTOJA,20
BORJA,1
AZAMBUJA,3
SCHAFFKA,1
DRANKA,1
CYRANKA,1
PETERKA,1
KURKA,1
VLNIESKA,1
LISKA,1
KERINSKA,1
NIEROTKA,1
BARCALA,1
ABDALA,2
SEGALA,1
NASSERALA,2
IRALA,1
NAMETALA,1
NEMETALA,1
ZAVALA,1
AYALA,2
BALBELA,1
PARADELA,1
VIDELA,1
SARDELA,2
MANGELA,1
ZABIELA,1
VILELA,23
VILLELA,5
CANELA,2
ZANELA,1
ESCANHOELA,1
CAPELA,1
COMARELA,1
VARELA,2
PARRELA,2
ESTRELA,10
QUINTELA,1
PORTELA,22
RUELA,1
ZORZELA,1
BACILA,1
MURILA,1
AGUILA,1
AVILA,34
DAVILA,1
ABDALLA,3
LALLA,1
PALLA,1
SALLA,1
BRAMBILLA,1
BROMBILLA,1
MILLA,1
PILLA,1
SORRILLA,1
MANTILLA,1
VILLA,1
AVILLA,1
MEZAVILLA,1
SEVILLA,1
MARCOLLA,1
ANDREOLLA,1
GRAZIOLLA,1
CIPOLLA,1
ROLLA,1
ROSTIROLLA,1
PROLLA,1
SOLLA,1
BRISOLLA,1
GAZOLLA,2
BRIZOLLA,1
BULLA,1
MACOLA,1
DALLAPICOLA,1
SCOLA,1
ESCOLA,1
MARANDOLA,1
MIRANDOLA,1
AMENDOLA,1
SPINDOLA,3
ESPINDOLA,10
MOREGOLA,1
FACIOLA,1
LOIOLA,8
MOLA,1
BAGNOLA,1
ESPINOLA,3
SOTTOCORNOLA,1
COPPOLA,1
PAROLA,1
VEROLA,1
GROLA,1
PIROLA,3
ROSTIROLA,1
PROLA,1
ISBARROLA,1
TUROLA,1
BRISOLA,1
MARSOLA,1
CASSOLA,1
MATOLA,2
VITOLA,1
MOTTOLA,1
LOYOLA,2
GAZOLA,2
FELIZOLA,1
VERZOLA,1
GAZZOLA,1
PLA,1
SCHAPLA,1
FERLA,1
SGANZERLA,2
GORLA,2
SGORLA,2
CAULA,1
FAULA,1
ESPINDULA,3
CORDULA,1
LULA,1
LOULA,1
CASULA,1
GAMA,46
PAULAGAMA,1
NAGAHAMA,1
SIMIEMA,1
CREMA,1
BAIMA,3
PEREIMA,1
EGIMA,1
IIMA,1
FATIMA,1
MAXIMA,1
PALMA,9
TALMA,1
CHAMMA,2
ROMA,1
SHIROMA,1
PARMA,1
FORMA,1
QUARESMA,10
ANA,24
OBANA,1
LACANA,2
HANA,1
OHANA,1
KAKINOHANA,1
BAIANA,1
LUBIANA,1
DIANA,1
CUGLIANA,1
BALLIANA,1
ULIANA,1
MIANA,1
GOIANA,1
PIANA,1
LANA,2
ORELLANA,1
FULLANA,1
PLANA,1
LIMANA,1
NANA,1
CAMPANA,2
UBARANA,1
PAPARANA,1
MATURANA,2
SANSANA,1
QUINTANA,3
FONTANA,7
PASTANA,1
PESTANA,5
MATTANA,1
SANTAYANA,1
ZANA,1
BAZANA,1
BALZANA,1
BAENA,1
BARBACENA,1
MACENA,6
DAMACENA,2
PAPACENA,1
CARRACENA,1
MASCENA,1
DAMASCENA,4
LUCENA,31
SUCENA,1
VILHENA,6
HELENA,1
MILENA,1
OMENA,6
HOMENA,1
PENA,18
ARENA,3
LLARENA,1
LORENA,2
MORENA,1
SENA,45
MASSENA,3
VESTENA,1
AGUENA,1
BRIZUENA,1
NOVENA,1
PENTAGNA,1
BERTAGNA,2
CASTAGNA,1
MEGNA,1
IGNA,1
MURALIKRISHNA,1
ROBAINA,1
JACOBINA,1
FACINA,1
LENCINA,1
MEDINA,9
RONDINA,1
BERNARDINA,1
REINA,1
BUONAFINA,1
REGINA,3
JURGINA,1
SALINA,1
TALINA,1
MARCELINA,1
GETELINA,1
MOLINA,4
IRAMINA,1
COLAFEMINA,1
NINA,3
PINA,6
IBIAPINA,2
CARAPINA,1
MASSAPINA,1
MALASPINA,1
TUPINA,1
FARINA,1
PRINA,1
ALSINA,2
ALTINA,1
FIONTINA,2
MARTINA,1
GIUSTINA,1
GRAVINA,1
CURVINA,2
FAXINA,2
GUAZINA,2
RAMAZZINA,1
ANNA,29
DANNA,1
VIANNA,43
LANNA,3
SANTANNA,3
PENNA,13
SENNA,9
WENNA,1
MELCHIONNA,1
COLONNA,1
BONA,4
DONA,1
CARDONA,1
PIERDONA,1
PAMPLONA,3
MAMONA,1
CARMONA,1
VERONA,1
CORONA,1
PERNA,1
HORNA,1
BARAUNA,1
BRAUNA,4
BUNA,1
GRAPIUNA,1
LUNA,17
ARARUNA,2
IBITURUNA,1
OSUNA,1
SUASSUNA,1
FORTUNA,3
LISBOA,40
PASCOA,1
LAGOA,1
OCHOA,1
UCHOA,13
ULHOA,3
FIGUEROA,3
FIGUEIROA,1
PESSOA,61
POLVOA,1
POVOA,4
LAPA,3
ITAPA,1
NALEPA,1
SERRAIPA,1
ZAPPA,2
SCHEPPA,1
CANEPPA,1
FELIPPA,1
CRIPPA,1
GRIPPA,1
ROPPA,1
SERPA,14
KAMBARA,1
OBARA,1
BARBARA,2
DARA,1
GANDARA,1
ORTIGARA,1
NOGARA,1
CAMPONOGARA,1
VERGARA,2
IARA,1
CHIARA,1
UBIRAJARA,1
MAKARA,1
LARA,12
CLARA,1
CAMARA,31
MCNAMARA,1
NARA,1
PARA,2
CARRARA,1
CASARA,1
CERISARA,1
CASSARA,1
ALCANTARA,49
RAVARA,1
HUZIWARA,1
IGAYARA,1
LANZARA,1
SEABRA,10
SIEBRA,5
COIMBRA,21
SOMBRA,2
COBRA,1
CHACRA,1
QUADRA,1
PEDRA,2
SAAVEDRA,1
GANDRA,2
ALMENDRA,2
MACERA,1
TRACERA,1
CONSIDERA,1
MASSAFERA,1
GERA,1
FIGHERA,1
MAIERA,1
PANCIERA,1
RIERA,1
VIERA,1
VALERA,1
CHIAMULERA,1
MERA,1
MANERA,1
CARBONERA,3
MORERA,1
CARRERA,1
HERRERA,3
CONTRERA,1
BALDISSERA,2
HILGUERA,1
NOGUERA,1
VERA,2
OLVERA,1
RAZERA,3
MAFRA,8
SAFRA,1
ALCOFRA,1
AGRA,5
REGRA,1
KODAIRA,1
SOLAIRA,1
KUMAIRA,1
GOBIRA,1
USHIROBIRA,1
MANGABEIRA,2
GOIABEIRA,1
CIBEIRA,1
PITOMBEIRA,1
SEICEIRA,1
ERICEIRA,2
LADEIRA,2
MADEIRA,16
VIDEIRA,2
CALDEIRA,20
BANDEIRA,34
CERDEIRA,2
LARANGEIRA,1
CARVALHEIRA,1
CASTANHEIRA,3
LINHEIRA,1
MACIEIRA,6
LARANJEIRA,3
MEIRA,24
LAMEIRA,4
LIMEIRA,10
PALMEIRA,7
LINEIRA,1
BOEIRA,3
CACHOEIRA,1
AROEIRA,1
CABREIRA,2
SOBREIRA,7
PEDREIRA,5
CIDREIRA,1
BARREIRA,7
CARREIRA,1
MARREIRA,2
PARREIRA,4
MADUREIRA,5
GESTEIRA,1
COSTEIRA,1
FIGUEIRA,27
RIGUEIRA,1
FILGUEIRA,11
MANGUEIRA,5
SEQUEIRA,1
TAMANQUEIRA,1
FRANQUEIRA,1
JUNQUEIRA,9
CERQUEIRA,45
SERQUEIRA,1
CIRQUEIRA,4
SIRQUEIRA,2
ARUEIRA,1
TAVEIRA,5
CERVEIRA,1
TEXEIRA,1
CAJAZEIRA,1
LIRA,56
MIRA,5
SUCUPIRA,3
CATIRA,1
ABUJAMRA,1
SENRA,4
PECORA,2
DORA,1
SIGORA,1
HORA,13
BEGGIORA,1
FLORA,1
AMORA,1
NORA,3
VICTORA,1
TAVORA,3
EVORA,1
ARRA,1
BARRA,4
IBARRA,1
GAMBARRA,1
SAGARRA,1
ALEJARRA,1
MARRA,9
PARRA,1
CAVARRA,1
CERRA,1
SERRA,37
BESERRA,8
TERRA,14
GUERRA,40
BIZERRA,2
GUIRRA,1
BORRA,1
URRA,1
ASCURRA,1
PENETRA,1
ULTRA,1
CINTRA,9
LONTRA,2
DUTRA,57
SCAFURA,1
SUGUIURA,2
VANJURA,1
AMIKURA,1
COURA,3
LOURA,1
FONTOURA,16
FARSURA,1
TURA,1
VENTURA,23
BOAVENTURA,5
UNTURA,1
BOTTURA,1
LAVRA,3
NEYRA,1
LYRA,8
MEZACASA,1
CESA,1
FONCESA,1
PRESA,1
LISA,2
TABOSA,2
VERCOSA,2
