UNOME,QTDE
SILVA,5853
SANTOS,3179
OLIVEIRA,2272
SOUZA,1771
LIMA,1245
COSTA,1203
PEREIRA,935
FERREIRA,901
ARAUJO,837
CARVALHO,770
NASCIMENTO,734
RODRIGUES,696
ALMEIDA,686
SOUSA,680
RIBEIRO,596
GOMES,595
ALVES,542
MARTINS,476
BARBOSA,456
ROCHA,435
MELO,433
ANDRADE,398
VIEIRA,393
FREITAS,387
SOARES,376
LOPES,369
GONCALVES,353
FERNANDES,346
DIAS,325
CASTRO,307
BARROS,302
REIS,299
CRUZ,299
SANTANA,292
MOREIRA,290
PINTO,285
MACHADO,284
NUNES,284
RAMOS,279
CUNHA,276
TEIXEIRA,255
PINHEIRO,249
CARDOSO,243
MEDEIROS,239
MENDES,239
BRITO,234
MORAES,231
SILVEIRA,229
MOURA,229
MARQUES,221
CAMPOS,218
COELHO,216
GUIMARAES,212
JESUS,212
MIRANDA,210
AZEVEDO,204
LEITE,201
ROSA,200
MONTEIRO,198
MORAIS,190
BEZERRA,189
FONSECA,188
MENEZES,184
BORGES,179
BATISTA,177
NOGUEIRA,174
FARIAS,167
NEVES,163
VASCONCELOS,161
CORREA,160
TAVARES,156
MATOS,153
MAGALHAES,151
ALBUQUERQUE,148
CAVALCANTE,145
FARIA,144
MACEDO,139
SIQUEIRA,138
AMORIM,138
DUARTE,137
AMARAL,136
MAIA,135
AGUIAR,133
BRAGA,131
MELLO,129
PAULA,128
ABREU,127
FIGUEIREDO,127
QUEIROZ,127
GARCIA,126
CONCEICAO,123
PIRES,122
MENDONCA,121
VIANA,121
CARNEIRO,118
BARRETO,116
FRANCA,115
SA,115
MOTA,114
XAVIER,112
CABRAL,111
DANTAS,109
PAIVA,108
TORRES,104
MACIEL,102
SAMPAIO,102
LEAL,102
CHAVES,100
CORDEIRO,96
FREIRE,96
CORREIA,96
BASTOS,96
COUTINHO,94
BRANDAO,94
ASSIS,93
CAVALCANTI,91
LEMOS,83
LUZ,82
SALES,82
CARMO,81
CHAGAS,81
GUEDES,80
ALENCAR,75
PEIXOTO,73
PACHECO,73
DINIZ,72
LACERDA,70
MESQUITA,70
MATTOS,68
PASSOS,65
ARRUDA,65
PRADO,64
PIMENTEL,64
LINS,64
CAMARGO,63
MARINHO,63
ANJOS,62
LEAO,62
REZENDE,62
PESSOA,61
PONTES,59
SIMOES,59
SANTIAGO,58
PORTO,57
DUTRA,57
GALVAO,56
MUNIZ,56
FRANCO,56
LIRA,56
AQUINO,55
RANGEL,55
FURTADO,52
PINHO,50
FEITOSA,50
COUTO,50
ALCANTARA,49
TRINDADE,48
LOBO,47
VALE,47
MOTTA,47
GAMA,46
LOURENCO,46
REGO,45
SENA,45
CERQUEIRA,45
NOBREGA,43
VIANNA,43
ANTUNES,43
FONTES,42
RAMALHO,41
FLORES,41
FERRAZ,41
CAETANO,41
LISBOA,40
HOLANDA,40
VIDAL,40
ARAGAO,40
SARAIVA,40
GUERRA,40
RABELO,40
PAZ,39
CALDAS,39
BRASIL,38
VELOSO,38
VARGAS,38
DAMASCENO,38
VAZ,37
PERES,37
SERRA,37
BRANCO,37
RESENDE,37
TELES,37
BITTENCOURT,36
VASCONCELLOS,35
FELIX,35
BARROSO,35
FALCAO,34
BANDEIRA,34
AVILA,34
FAGUNDES,34
BOTELHO,34
ASSUNCAO,34
DOMINGUES,34
PENHA,32
VALENTE,32
MENESES,32
ESTEVES,31
CAMARA,31
LUCENA,31
NOBRE,31
BARBOZA,30
BAPTISTA,30
LOUREIRO,30
SANTO,29
ANNA,29
LESSA,29
GOES,29
FRANCISCO,29
LEITAO,28
VERAS,28
LINHARES,28
NOVAES,28
PAIXAO,28
PIMENTA,28
BOMFIM,28
TOLEDO,28
LUCAS,27
EVANGELISTA,27
CESAR,27
FIGUEIRA,27
VEIGA,27
GOULART,27
BORBA,26
LOBATO,26
FRAGA,26
PEDROSA,26
SOUTO,26
PAES,26
ALVARENGA,26
GOUVEIA,25
SALDANHA,25
ROSARIO,25
NETTO,25
BRAZ,25
RIOS,24
GONZAGA,24
BUENO,24
DOMINGOS,24
MEIRA,24
ANA,24
BISPO,24
PADILHA,24
VILELA,23
PEDROSO,23
CAMPELO,23
SARMENTO,23
PAULO,23
ALEXANDRE,23
VENTURA,23
BERNARDES,23
QUADROS,22
PORTELA,22
MORENO,22
SALGADO,22
JORGE,22
BERNARDO,22
MARINS,21
SALLES,21
COIMBRA,21
BRUM,21
GOIS,21
BENTO,21
PARENTE,20
SANCHES,20
ARANTES,20
CANDIDO,20
BARCELLOS,20
PANTOJA,20
CALDEIRA,20
LUIZ,20
DOURADO,19
NERY,19
VALLE,19
