PNOME,SEXO,QTDE
MARIA,F,165
JOSE,M,53
ANA,F,233
JOAO,M,91
CARLOS,M,202
PAULO,M,50
ANTONIO,M,70
LUIZ,M,251
FRANCISCO,M,163
MARCELO,M,115
MARCOS,M,190
ANDRE,M,201
RODRIGO,M,146
RAFAEL,M,3
RICARDO,M,177
FERNANDO,M,93
PEDRO,M,75
EDUARDO,M,40
FERNANDA,F,202
PATRICIA,F,106
DANIEL,M,102
ALEXANDRE,M,64
JULIANA,F,58
BRUNO,M,207
MARCIA,F,131
FABIO,M,62
LEONARDO,M,208
LUCIANA,F,171
SERGIO,M,134
LUIS,M,32
JORGE,M,246
CLAUDIA,F,218
ADRIANA,F,201
THIAGO,M,169
ALINE,F,152
MARCIO,M,139
RENATA,F,113
ROBERTO,M,197
MARIANA,F,129
LUCAS,M,92
GUSTAVO,M,44
FELIPE,M,30
CAMILA,F,87
GUILHERME,M,79
SANDRA,F,25
CLAUDIO,M,242
LEANDRO,M,205
VANESSA,F,202
ANDREA,F,174
RENATO,M,120
FLAVIA,F,71
SIMONE,F,30
CARLA,F,12
RAIMUNDO,M,248
MARCO,M,219
DIEGO,M,201
PAULA,F,171
CRISTIANE,F,163
DANIELA,F,145
FLAVIO,M,142
GABRIEL,M,114
MANOEL,M,111
ANDERSON,M,108
CAROLINA,F,106
LUCIANO,M,83
RAQUEL,F,54
VINICIUS,M,24
AMANDA,F,13
EDSON,M,2
GABRIELA,F,254
JULIO,M,251
ROGERIO,M,236
MARIO,M,202
MONICA,F,189
BRUNA,F,187
MAURICIO,M,186
LETICIA,F,185
TIAGO,M,168
DEBORA,F,138
LARISSA,F,115
THAIS,F,97
PRISCILA,F,81
ALESSANDRA,F,59
DENISE,F,254
FABIANA,F,198
SILVIA,F,198
ADRIANO,M,197
VICTOR,M,185
TATIANA,F,173
MARINA,F,171
ELIANE,F,165
ANGELA,F,145
NATALIA,F,131
REGINA,F,120
JESSICA,F,118
RONALDO,M,109
SONIA,F,106
CAROLINE,F,101
VIVIANE,F,98
RITA,F,91
BARBARA,F,86
MARCUS,M,74
ROBERTA,F,74
MATHEUS,M,70
HENRIQUE,M,64
KATIA,F,55
VERA,F,50
FRANCISCA,F,26
ELAINE,F,25
DANIELLE,F,24
VALERIA,F,12
ANDREIA,F,11
ROSANGELA,F,5
ALEX,M,249
GERALDO,M,227
LIVIA,F,222
MAURO,M,222
LUANA,F,208
IGOR,M,194
LUCIA,F,190
ROBSON,M,185
SEBASTIAO,M,167
VITOR,M,156
WAGNER,M,154
GILBERTO,M,152
CRISTINA,F,151
DANILO,M,139
BEATRIZ,F,139
TANIA,F,132
JULIA,F,102
JANAINA,F,85
FABRICIO,M,83
LILIAN,F,74
CESAR,M,56
DOUGLAS,M,52
ALBERTO,M,30
MARTA,F,29
ANNA,F,28
ROSANA,F,27
SILVANA,F,23
WILSON,M,251
JAQUELINE,F,249
CRISTIANO,M,247
HUGO,M,238
BIANCA,F,236
LAURA,F,231
MARCELA,F,230
RAFAELA,F,229
NELSON,M,228
DANIELE,F,227
