PNOME,QTDE,PERC
MARIA,20392,3.1593
JOSE,15924,2.4671
ANA,11497,1.7812
JOAO,7515,1.1643
CARLOS,7370,1.1418
PAULO,7220,1.1186
ANTONIO,6982,1.0817
LUIZ,6139,0.9511
FRANCISCO,5795,0.8978
MARCELO,4977,0.7711
MARCOS,4542,0.7037
ANDRE,4294,0.6653
RODRIGO,3986,0.6176
RAFAEL,3843,0.5954
RICARDO,3761,0.5827
FERNANDO,3677,0.5697
PEDRO,3660,0.5670
EDUARDO,3624,0.5615
FERNANDA,3530,0.5469
PATRICIA,3435,0.5322
DANIEL,3428,0.5311
ALEXANDRE,3390,0.5252
JULIANA,3383,0.5241
BRUNO,3278,0.5079
MARCIA,3202,0.4961
FABIO,3133,0.4854
LEONARDO,3025,0.4687
LUCIANA,2987,0.4628
SERGIO,2950,0.4570
LUIS,2848,0.4412
JORGE,2806,0.4347
CLAUDIA,2778,0.4304
ADRIANA,2764,0.4282
THIAGO,2729,0.4228
ALINE,2711,0.4200
MARCIO,2699,0.4182
RENATA,2673,0.4141
ROBERTO,2501,0.3875
MARIANA,2433,0.3769
LUCAS,2397,0.3714
GUSTAVO,2348,0.3638
FELIPE,2334,0.3616
CAMILA,2135,0.3308
GUILHERME,2127,0.3295
SANDRA,2073,0.3212
CLAUDIO,2033,0.3150
LEANDRO,1997,0.3094
VANESSA,1994,0.3089
ANDREA,1966,0.3046
RENATO,1913,0.2964
FLAVIA,1863,0.2886
SIMONE,1822,0.2823
CARLA,1804,0.2795
RAIMUNDO,1784,0.2764
MARCO,1754,0.2717
DIEGO,1737,0.2691
PAULA,1707,0.2645
CRISTIANE,1700,0.2634
DANIELA,1681,0.2604
FLAVIO,1678,0.2600
GABRIEL,1650,0.2556
MANOEL,1647,0.2552
ANDERSON,1643,0.2546
CAROLINA,1642,0.2544
LUCIANO,1619,0.2508
RAQUEL,1590,0.2463
VINICIUS,1559,0.2415
AMANDA,1549,0.2400
EDSON,1538,0.2383
GABRIELA,1534,0.2377
JULIO,1531,0.2372
