UNOME,QTDE
A,1
MANNAA,1
SILVAA,1
BA,1
BABA,4
CURIMBABA,1
MARACABA,1
JUACABA,1
AJURICABA,1
ISSICABA,1
FABA,1
PARANGABA,3
PORANGABA,7
CHABA,1
GUARACIABA,1
SKABA,1
LABA,1
IANABA,1
INABA,3
SCHOABA,3
CHIARABA,1
GUABIRABA,3
SKRABA,1
TRABA,1
SAKURABA,2
SABA,7
KUSSABA,1
KOTABA,1
GUATIGUABA,1
PAJUABA,2
QUIXABA,3
ABBA,1
SABBA,1
SCEBBA,1
SEBBA,1
ROBBA,3
MEZAROBBA,1
GRUBBA,1
HADBA,1
JURUBEBA,1
FEBA,1
KLEBA,1
PEBA,1
CARAPEBA,1
SEBA,2
TEBA,1
WEBA,1
ZEBA,1
KACHBA,1
CAJAIBA,3
DELAIBA,1
PARANAIBA,5
PARNAIBA,3
PARAIBA,3
MOCITAIBA,1
DIBA,1
BIRINDIBA,1
MIRINDIBA,1
TATAGIBA,12
OGIBA,1
CHIBA,8
ICHIBA,1
SHIBA,1
HOSHIBA,1
KOSHIBA,1
AKIBA,2
LIBA,2
SALIBA,14
ATALIBA,4
RIBA,3
GARIBA,1
BIRIBA,3
IMBIRIBA,6
TIRIBA,1
TYMBURIBA,1
SIBA,2
TIBA,9
MURITIBA,6
DALTIBA,1
COTINGUIBA,4
ALBA,21
TORREALBA,1
BILHALBA,1
VILHALBA,1
GRIJALBA,1
VILALBA,1
VILLALBA,6
PERALBA,1
ELBA,1
KULBA,1
GAMBA,8
BELLAGAMBA,1
BONAGAMBA,1
GALAMBA,1
NAMBA,6
TUPINAMBA,19
TUPYNAMBA,2
CHARAMBA,1
TAMBA,1
ZAMBA,3
KLEMBA,1
GOLEMBA,1
OTREMBA,1
TEMBA,1
GEIMBA,1
GIMBA,1
SHIMBA,1
SIMBA,1
NSIMBA,1
BOMBA,1
COMBA,1
LOMBA,12
PALOMBA,1
TOMBA,1
CUMBA,1
DUMBA,1
CORUMBA,1
ZUMBA,5
CAZUMBA,6
OBA,5
MANICOBA,7
ALCOBA,1
CORDOBA,7
CHOBA,1
MAIOBA,1
JOBA,1
CAMANDAROBA,2
PEROBA,5
GROBA,2
GUABIROBA,1
JANDIROBA,1
WANTROBA,1
WOTROBA,1
TOBA,1
JATOBA,22
BARBA,11
MALABARBA,1
MEZABARBA,2
DEBARBA,6
GARBA,1
BERBA,1
GERBA,1
MALERBA,4
BORBA,265
TURBA,1
ZURBA,2
UBA,2
MACAUBA,1
CARNAUBA,22
SIPAUBA,3
BUBA,1
CUBA,9
MARANDUBA,4
MASSARANDUBA,1
CATANDUBA,1
MUNGUBA,2
CACHUBA,1
KACHUBA,1
MARIUBA,1
PAXIUBA,1
KUBA,4
LUBA,1
FALUBA,2
RUBA,1
CARUBA,1
UBATUBA,1
PACATUBA,1
PETUBA,1
PITUBA,3
SITUBA,1
VISTUBA,1
YUBA,1
ZUBA,5
KASZUBA,1
ITAGYBA,1
PACOBAHYBA,4
MACAHYBA,1
PARANAHYBA,1
ACARAHYBA,1
PARAHYBA,8
SARAHYBA,1
GUAHYBA,3
TIMBOHYBA,1
RYBA,1
AZBA,1
CA,2
ACA,2
BACA,2
RABACA,1
FACA,2
GACA,1
FOGACA,53
FUGACA,1
MACHACA,1
MARIACA,2
FRIACA,7
TRIACA,1
ALACA,1
CALACA,13
CHALACA,1
VILACA,42
VILLACA,26
COLACA,1
MACA,2
TANACA,1
PACA,1
CARACA,4
PEDRACA,3
PERACA,3
GRACA,80
ARAPIRACA,4
CORACA,2
MORACA,1
PRACA,21
BARRACA,1
FERRACA,1
TORRACA,5
LATORRACA,9
CASSACA,1
BRUSACA,2
TARRATACA,1
VACA,4
CAVACA,3
MIGLIAVACA,2
EMILIAVACA,1
SCANAVACA,1
CARAVACA,3
CAZACA,1
BRUZACA,2
BACCA,2
PACCA,3
RACCA,3
GIRACCA,1
TORRACCA,3
TACCA,2
HUACCA,1
MIGLIAVACCA,2
SCANAVACCA,2
ESCANAVACCA,1
SCORNAVACCA,1
LECCA,1
MECCA,4
CRECCA,1
PETRECCA,1
SECCA,2
STECCA,5
ZECCA,1
BICCA,16
CHICCA,1
PICCA,1
SICCA,1
TESTASICCA,2
ZICCA,1
BOCCA,6
IOCCA,1
CHIOCCA,1
SCINOCCA,1
ROCCA,12
LAROCCA,1
BROCCA,1
ZOCCA,2
DUCCA,2
DELDUCCA,1
LUCCA,43
PUCCA,4
ECA,7
BAECA,1
CABECA,7
