UNOME,QTDE,PERC
SILVA,48640,7.5358
SANTOS,26660,4.1304
OLIVEIRA,21621,3.3497
SOUZA,15621,2.4202
LIMA,11941,1.8500
COSTA,11016,1.7067
PEREIRA,8650,1.3401
FERREIRA,8361,1.2954
ARAUJO,7970,1.2348
CARVALHO,7319,1.1339
ALMEIDA,6614,1.0247
RODRIGUES,6541,1.0134
SOUSA,6207,0.9617
NASCIMENTO,5865,0.9087
RIBEIRO,5363,0.8309
GOMES,5312,0.8230
ALVES,5161,0.7996
ROCHA,4663,0.7224
MARTINS,4549,0.7048
BARBOSA,4452,0.6897
MELO,4208,0.6519
SOARES,4042,0.6262
ANDRADE,4011,0.6214
LOPES,3890,0.6027
FREITAS,3744,0.5801
VIEIRA,3554,0.5506
GONCALVES,3521,0.5455
FERNANDES,3430,0.5314
DIAS,3264,0.5057
MACHADO,3117,0.4829
CASTRO,2947,0.4566
MOREIRA,2895,0.4485
BARROS,2862,0.4434
REIS,2820,0.4369
CRUZ,2785,0.4315
CUNHA,2722,0.4217
TEIXEIRA,2717,0.4209
PINTO,2676,0.4146
SANTANA,2584,0.4003
NUNES,2569,0.3980
CARDOSO,2522,0.3907
RAMOS,2508,0.3886
MOURA,2417,0.3745
BRITO,2390,0.3703
CAMPOS,2369,0.3670
MEDEIROS,2367,0.3667
SILVEIRA,2313,0.3584
MORAES,2263,0.3506
MARQUES,2250,0.3486
GUIMARAES,2228,0.3452
FONSECA,2209,0.3422
MENDES,2198,0.3405
LEITE,2187,0.3388
BORGES,2151,0.3333
PINHEIRO,2066,0.3201
MONTEIRO,2062,0.3195
MIRANDA,2001,0.3100
ROSA,1981,0.3069
AZEVEDO,1956,0.3030
COELHO,1892,0.2931
BATISTA,1850,0.2866
BEZERRA,1809,0.2803
CORREA,1709,0.2648
MENEZES,1701,0.2635
JESUS,1680,0.2603
FARIAS,1674,0.2594
NEVES,1608,0.2491
MORAIS,1600,0.2479
NOGUEIRA,1598,0.2476
QUEIROZ,1557,0.2412
MACEDO,1536,0.2380
DUARTE,1531,0.2372
MAGALHAES,1523,0.2360
FIGUEIREDO,1521,0.2356
VASCONCELOS,1453,0.2251
TAVARES,1447,0.2242
ALBUQUERQUE,1437,0.2226
MATOS,1437,0.2226
PAULA,1435,0.2223
GARCIA,1404,0.2175
MAIA,1398,0.2166
BRAGA,1391,0.2155
AMARAL,1382,0.2141
CAVALCANTE,1371,0.2124
AMORIM,1360,0.2107
DANTAS,1328,0.2057
FARIA,1305,0.2022
AGUIAR,1299,0.2013
VIANA,1273,0.1972
CARNEIRO,1239,0.1920
MENDONCA,1221,0.1892
SIQUEIRA,1213,0.1879
FRANCA,1201,0.1861
PIRES,1184,0.1834
ABREU,1183,0.1833
PAIVA,1173,0.1817
BARRETO,1130,0.1751
TORRES,1124,0.1741
MOTA,1105,0.1712
SA,1099,0.1703
MELLO,1077,0.1669
CHAVES,1072,0.1661
LEAL,1063,0.1647
XAVIER,1025,0.1588
CONCEICAO,1009,0.1563
BASTOS,992,0.1537
SAMPAIO,984,0.1525
MACIEL,970,0.1503
ASSIS,955,0.1480
FREIRE,937,0.1452
CABRAL,917,0.1421
SALES,890,0.1379
BRANDAO,883,0.1368
CORDEIRO,867,0.1343
LEMOS,856,0.1326
CORREIA,853,0.1322
CAVALCANTI,851,0.1318
DINIZ,845,0.1309
COUTINHO,789,0.1222
REZENDE,786,0.1218
GUEDES,772,0.1196
LUZ,741,0.1148
FRANCO,740,0.1146
CARMO,732,0.1134
ALENCAR,732,0.1134
ARRUDA,713,0.1105
LACERDA,710,0.1100
PEIXOTO,689,0.1067
PACHECO,685,0.1061
MESQUITA,684,0.1060
MARINHO,672,0.1041
PRADO,666,0.1032
PASSOS,662,0.1026
LIRA,653,0.1012
CHAGAS,645,0.0999
SANTIAGO,643,0.0996
ANJOS,630,0.0976
PONTES,622,0.0964
AQUINO,617,0.0956
PESSOA,611,0.0947
DUTRA,600,0.0930
PIMENTEL,600,0.0930
MATTOS,587,0.0909
CAMARGO,586,0.0908
FEITOSA,579,0.0897
SIMOES,571,0.0885
RESENDE,563,0.0872
PORTO,561,0.0869
COUTO,558,0.0865
FURTADO,534,0.0827
GALVAO,529,0.0820
TRINDADE,528,0.0818
LEAO,519,0.0804
ANTUNES,502,0.0778
REGO,474,0.0734
SENA,473,0.0733
FERRAZ,472,0.0731
MOTTA,471,0.0730
LINS,467,0.0724
MUNIZ,463,0.0717
LUCENA,463,0.0717
GUERRA,460,0.0713
AVILA,454,0.0703
NOBREGA,447,0.0693
ALCANTARA,447,0.0693
DAMASCENO,437,0.0677
PINHO,437,0.0677
CERQUEIRA,430,0.0666
VALE,429,0.0665
GAMA,426,0.0660
VARGAS,426,0.0660
FONTES,414,0.0641
LOURENCO,413,0.0640
ASSUNCAO,407,0.0631
BARROSO,404,0.0626
BUENO,401,0.0621
RABELO,399,0.0618
VAZ,396,0.0614
RANGEL,389,0.0603
ARAGAO,388,0.0601
LISBOA,379,0.0587
SARAIVA,377,0.0584
CAETANO,376,0.0583
BRASIL,374,0.0579
BANDEIRA,374,0.0579
SOUTO,371,0.0575
BOTELHO,364,0.0564
PERES,360,0.0558
VELOSO,357,0.0553
LOBO,355,0.0550
FLORES,353,0.0547
PAIXAO,353,0.0547
BRANCO,350,0.0542
PAZ,348,0.0539
CALDAS,346,0.0536
CAMARA,345,0.0535
VIDAL,344,0.0533
PIMENTA,342,0.0530
NETTO,342,0.0530
FAGUNDES,340,0.0527
HOLANDA,338,0.0524
VIANNA,338,0.0524
TELES,336,0.0521
BITTENCOURT,336,0.0521
FELIX,334,0.0517
FALCAO,331,0.0513
BARBOZA,319,0.0494
DOMINGUES,315,0.0488
VILELA,308,0.0477
GOULART,308,0.0477
RAMALHO,301,0.0466
FRAGA,295,0.0457
PAES,294,0.0455
ALVARENGA,293,0.0454
NOBRE,292,0.0452
VASCONCELLOS,292,0.0452
BAPTISTA,291,0.0451
FRANCISCO,286,0.0443
LOUREIRO,285,0.0442
SANCHES,285,0.0442
TOLEDO,282,0.0437
JORGE,281,0.0435
RIOS,280,0.0434
VERAS,279,0.0432
VALENTE,278,0.0431
GOES,277,0.0429
EVANGELISTA,276,0.0428
VEIGA,273,0.0423
CANDIDO,271,0.0420
ESTEVES,266,0.0412
SANTO,266,0.0412
BORBA,265,0.0411
LOBATO,262,0.0406
GOUVEIA,261,0.0404
PEDROSA,259,0.0401
ANNA,257,0.0398
BOMFIM,255,0.0395
DOURADO,254,0.0394
LEITAO,254,0.0394
MULLER,251,0.0389
BERNARDES,248,0.0384
SERRA,247,0.0383
LUCAS,246,0.0381
BRAZ,243,0.0376
PEREZ,242,0.0375
MATIAS,240,0.0372
MARIANO,238,0.0369
PADILHA,235,0.0364
NOVAES,234,0.0363
BENTO,230,0.0356
BISPO,230,0.0356
MEIRA,230,0.0356
ARANTES,226,0.0350
WANDERLEY,225,0.0349
MEIRELES,224,0.0347
JARDIM,224,0.0347
MARTINEZ,222,0.0344
SALLES,222,0.0344
MENESES,222,0.0344
BARCELOS,221,0.0342
GONZALEZ,220,0.0341
ROSSI,219,0.0339
PEDROSO,217,0.0336
SARMENTO,217,0.0336
RODRIGUEZ,217,0.0336
PORTELA,215,0.0333
LESSA,213,0.0330
LINHARES,213,0.0330
COIMBRA,212,0.0328
PENA,211,0.0327
VALLE,210,0.0325
SCHNEIDER,209,0.0324
MORENO,208,0.0322
GODOY,207,0.0321
