UNOME,QTDE,PERC
SILVA,5851,9.1546
SANTOS,3180,4.9755
OLIVEIRA,2273,3.5564
SOUZA,1768,2.7663
LIMA,1244,1.9464
COSTA,1202,1.8807
PEREIRA,934,1.4614
FERREIRA,900,1.4082
ARAUJO,835,1.3065
CARVALHO,773,1.2095
NASCIMENTO,734,1.1484
RODRIGUES,697,1.0905
ALMEIDA,685,1.0718
SOUSA,680,1.0639
RIBEIRO,598,0.9356
GOMES,596,0.9325
ALVES,543,0.8496
MARTINS,477,0.7463
BARBOSA,458,0.7166
ROCHA,435,0.6806
MELO,433,0.6775
ANDRADE,398,0.6227
VIEIRA,393,0.6149
FREITAS,387,0.6055
SOARES,377,0.5899
LOPES,370,0.5789
GONCALVES,353,0.5523
FERNANDES,346,0.5414
DIAS,324,0.5069
CASTRO,306,0.4788
BARROS,301,0.4710
CRUZ,299,0.4678
REIS,298,0.4663
SANTANA,292,0.4569
MOREIRA,290,0.4537
NUNES,285,0.4459
MACHADO,284,0.4444
PINTO,284,0.4444
RAMOS,279,0.4365
CUNHA,277,0.4334
TEIXEIRA,254,0.3974
PINHEIRO,249,0.3896
CARDOSO,243,0.3802
MENDES,239,0.3739
MEDEIROS,239,0.3739
BRITO,234,0.3661
MORAES,232,0.3630
SILVEIRA,230,0.3599
MOURA,229,0.3583
MARQUES,221,0.3458
CAMPOS,219,0.3427
COELHO,216,0.3380
JESUS,212,0.3317
GUIMARAES,212,0.3317
MIRANDA,210,0.3286
AZEVEDO,203,0.3176
LEITE,201,0.3145
ROSA,200,0.3129
MONTEIRO,198,0.3098
MORAIS,191,0.2988
BEZERRA,189,0.2957
FONSECA,188,0.2941
MENEZES,185,0.2895
BORGES,178,0.2785
BATISTA,176,0.2754
NOGUEIRA,175,0.2738
FARIAS,168,0.2629
NEVES,163,0.2550
VASCONCELOS,161,0.2519
CORREA,160,0.2503
TAVARES,155,0.2425
MATOS,153,0.2394
MAGALHAES,151,0.2363
ALBUQUERQUE,148,0.2316
CAVALCANTE,146,0.2284
FARIA,144,0.2253
MACEDO,141,0.2206
AMORIM,138,0.2159
SIQUEIRA,138,0.2159
DUARTE,137,0.2144
AMARAL,136,0.2128
MAIA,134,0.2097
AGUIAR,133,0.2081
BRAGA,132,0.2065
MELLO,129,0.2018
PAULA,129,0.2018
FIGUEIREDO,127,0.1987
ABREU,127,0.1987
QUEIROZ,127,0.1987
GARCIA,126,0.1971
CONCEICAO,123,0.1924
PIRES,122,0.1909
VIANA,121,0.1893
MENDONCA,120,0.1878
CARNEIRO,118,0.1846
BARRETO,117,0.1831
SA,116,0.1815
FRANCA,114,0.1784
MOTA,114,0.1784
XAVIER,112,0.1752
CABRAL,111,0.1737
DANTAS,108,0.1690
PAIVA,108,0.1690
TORRES,104,0.1627
LEAL,102,0.1596
SAMPAIO,102,0.1596
MACIEL,102,0.1596
CHAVES,99,0.1549
BASTOS,97,0.1518
CORREIA,97,0.1518
FREIRE,97,0.1518
CORDEIRO,96,0.1502
COUTINHO,94,0.1471
BRANDAO,94,0.1471
ASSIS,92,0.1439
CAVALCANTI,91,0.1424
LEMOS,83,0.1299
SALES,82,0.1283
LUZ,82,0.1283
CARMO,81,0.1267
CHAGAS,80,0.1252
GUEDES,79,0.1236
ALENCAR,75,0.1173
PACHECO,74,0.1158
PEIXOTO,73,0.1142
DINIZ,72,0.1127
LACERDA,70,0.1095
MESQUITA,70,0.1095
MATTOS,68,0.1064
PASSOS,65,0.1017
ARRUDA,65,0.1017
LINS,64,0.1001
PRADO,64,0.1001
PIMENTEL,64,0.1001
CAMARGO,63,0.0986
MARINHO,63,0.0986
PESSOA,63,0.0986
REZENDE,62,0.0970
LEAO,62,0.0970
ANJOS,62,0.0970
PONTES,59,0.0923
SIMOES,59,0.0923
SANTIAGO,59,0.0923
DUTRA,57,0.0892
PORTO,57,0.0892
FRANCO,56,0.0876
GALVAO,56,0.0876
MUNIZ,56,0.0876
RANGEL,55,0.0861
LIRA,55,0.0861
AQUINO,55,0.0861
FURTADO,52,0.0814
PINHO,50,0.0782
COUTO,50,0.0782
FEITOSA,50,0.0782
ALCANTARA,49,0.0767
TRINDADE,48,0.0751
MOTTA,47,0.0735
GAMA,47,0.0735
LOBO,47,0.0735
VALE,47,0.0735
LOURENCO,46,0.0720
CERQUEIRA,45,0.0704
SENA,45,0.0704
REGO,44,0.0688
NOBREGA,43,0.0673
VIANNA,43,0.0673
ANTUNES,43,0.0673
FONTES,42,0.0657
FERRAZ,41,0.0641
RAMALHO,41,0.0641
FLORES,41,0.0641
CAETANO,41,0.0641
RABELO,40,0.0626
ARAGAO,40,0.0626
HOLANDA,40,0.0626
VIDAL,40,0.0626
GUERRA,40,0.0626
PAZ,39,0.0610
SARAIVA,39,0.0610
CALDAS,39,0.0610
LISBOA,39,0.0610
BRASIL,38,0.0595
TELES,38,0.0595
VELOSO,38,0.0595
VARGAS,38,0.0595
DAMASCENO,38,0.0595
SERRA,37,0.0579
VAZ,37,0.0579
BRANCO,37,0.0579
PERES,37,0.0579
RESENDE,37,0.0579
BITTENCOURT,36,0.0563
FELIX,35,0.0548
BARROSO,35,0.0548
VASCONCELLOS,35,0.0548
ASSUNCAO,34,0.0532
AVILA,34,0.0532
BOTELHO,34,0.0532
BANDEIRA,34,0.0532
DOMINGUES,34,0.0532
FAGUNDES,34,0.0532
FALCAO,34,0.0532
MENESES,32,0.0501
VALENTE,32,0.0501
PENHA,32,0.0501
ESTEVES,31,0.0485
NOBRE,31,0.0485
LUCENA,31,0.0485
CAMARA,31,0.0485
BARBOZA,30,0.0469
LOUREIRO,30,0.0469
BAPTISTA,30,0.0469
GOES,29,0.0454
ANNA,29,0.0454
LESSA,29,0.0454
SANTO,29,0.0454
FRANCISCO,29,0.0454
TOLEDO,28,0.0438
NOVAES,28,0.0438
PIMENTA,28,0.0438
PAIXAO,28,0.0438
VERAS,28,0.0438
LINHARES,28,0.0438
BOMFIM,28,0.0438
LEITAO,28,0.0438
VEIGA,27,0.0422
GOULART,27,0.0422
FIGUEIRA,27,0.0422
LUCAS,27,0.0422
EVANGELISTA,27,0.0422
CESAR,27,0.0422
ALVARENGA,26,0.0407
BORBA,26,0.0407
PEDROSA,26,0.0407
FRAGA,26,0.0407
PAES,26,0.0407
SOUTO,26,0.0407
SALDANHA,25,0.0391
ROSARIO,25,0.0391
NETTO,25,0.0391
